Date,APOLLOHOSP.NS,AXISBANK.NS,CIPLA.NS,DIVISLAB.NS,DRREDDY.NS,HCLTECH.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,KOTAKBANK.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TECHM.NS,WIPRO.NS,^NSEI
2023-01-02,4411.58203125,939.112060546875,1042.2684326171875,3310.15478515625,830.2246704101562,918.4268798828125,783.6779174804688,880.6473388671875,1397.7021484375,363.890869140625,578.9995727539062,962.101318359375,2932.7939453125,920.3868408203125,183.37893676757812,18197.44921875
2023-01-03,4447.78076171875,959.7574462890625,1047.0859375,3330.1279296875,830.8715209960938,920.1056518554688,788.8023071289062,879.5739135742188,1396.372314453125,365.4460754394531,579.1886596679688,973.7776489257812,2977.665283203125,933.4244995117188,185.24513244628906,18232.55078125
2023-01-04,4390.7333984375,954.9202880859375,1038.3270263671875,3371.8896484375,833.841552734375,915.9088134765625,774.7041625976562,877.3782348632812,1370.922119140625,363.03350830078125,572.3790893554688,968.9527587890625,2980.633056640625,930.2335205078125,181.8159942626953,18042.94921875
2023-01-05,4386.52490234375,947.0411376953125,1059.202392578125,3397.7021484375,842.467041015625,922.5355834960938,769.7239990234375,857.9102783203125,1352.9462890625,362.9437561035156,572.2846069335938,980.6292724609375,2977.44091796875,922.3470458984375,180.50962829589844,17992.150390625
2023-01-06,4345.32421875,937.4166870117188,1047.5238037109375,3371.25146484375,837.4191284179688,912.5513305664062,767.1738891601562,849.0789184570312,1328.458984375,356.2643127441406,568.0759887695312,973.3917846679688,2887.92236328125,899.0980834960938,178.22352600097656,17859.44921875
2023-01-09,4365.3798828125,956.216796875,1058.3265380859375,3395.3955078125,849.6224365234375,943.1668701171875,768.6654663085938,852.2503662109375,1361.4296875,361.2689208984375,574.7435913085938,981.256591796875,2985.398681640625,925.6293334960938,182.7957305908203,18101.19921875
2023-01-10,4423.763671875,949.63427734375,1049.810791015625,3436.960693359375,840.7420043945312,939.9862060546875,754.6153564453125,840.5402221679688,1347.947998046875,358.0089416503906,562.8742065429688,976.4315795898438,2955.229736328125,914.1416015625,183.37893676757812,17914.150390625
2023-01-11,4318.732421875,947.2406005859375,1019.5437622070312,3348.23583984375,835.4882202148438,931.9898681640625,765.48974609375,845.3706665039062,1349.3236083984375,359.26507568359375,564.3401489257812,992.0162963867188,2993.2666015625,917.5149536132812,183.75218200683594,17895.69921875
2023-01-12,4317.89013671875,933.078125,1032.7310791015625,3244.052978515625,845.0352172851562,946.8779296875,769.5797119140625,839.857177734375,1357.8988037109375,354.80877685546875,562.6377563476562,996.6963500976562,2998.34765625,913.138671875,184.05545043945312,17858.19921875
2023-01-13,4293.92333984375,931.6818237304688,1039.1541748046875,3289.59326171875,846.9563598632812,952.3119506835938,770.1812133789062,852.3479614257812,1379.0386962890625,354.96832275390625,567.5556640625,995.4901733398438,3034.496826171875,914.5974731445312,183.77549743652344,17956.599609375
2023-01-16,4253.41552734375,910.7373657226562,1031.222412109375,3271.435791015625,848.06396484375,966.3607788085938,762.7952880859375,844.3460693359375,1399.0780029296875,355.86553955078125,570.2984619140625,999.2053833007812,3066.225830078125,943.1343994140625,185.9683074951172,17894.849609375
2023-01-17,4281.3447265625,915.2752685546875,1040.468017578125,3285.372802734375,853.10205078125,981.6907958984375,774.1508178710938,844.2484741210938,1411.9176025390625,358.4276428222656,560.79345703125,996.5515747070312,3107.012451171875,953.7105102539062,184.9185791015625,18053.30078125
2023-01-18,4298.1318359375,921.55859375,1034.9205322265625,3325.711181640625,855.5722045898438,985.3133544921875,787.8160400390625,848.493408203125,1417.3287353515625,358.716796875,559.3748779296875,1003.6925659179688,3117.680908203125,955.807373046875,188.1144561767578,18165.349609375
2023-01-19,4276.68994140625,926.2462768554688,1036.331787109375,3319.33154296875,849.2695922851562,990.8856201171875,791.087890625,845.224365234375,1411.3673095703125,352.37628173828125,557.8616333007812,1004.126953125,3102.138916015625,960.3204956054688,188.207763671875,18107.849609375
2023-01-20,4244.10546875,928.0913696289062,1025.237060546875,3281.201416015625,852.8766479492188,987.6758422851562,799.195556640625,849.3228759765625,1399.123779296875,351.49896240234375,560.0841674804688,994.283935546875,3092.94189453125,954.1206665039062,188.09112548828125,18027.650390625
2023-01-23,4293.82373046875,930.2357177734375,1034.0933837890625,3322.962890625,850.3772583007812,999.6227416992188,805.0418090820312,850.6402587890625,1419.713134765625,355.65618896484375,567.8867797851562,1012.5707397460938,3140.580810546875,971.2612915039062,189.88735961914062,18118.55078125
2023-01-24,4263.666015625,907.7951049804688,1033.7042236328125,3293.862548828125,833.6944580078125,1014.467529296875,815.8198852539062,849.7131958007812,1423.2899169921875,350.9705810546875,562.1175537109375,1004.2715454101562,3160.26220703125,976.0933837890625,190.16798400878906,18118.30078125
2023-01-25,4183.7900390625,889.9921875,1007.5245971679688,3273.8896484375,823.539794921875,1001.0047607421875,793.2772216796875,834.6364135742188,1415.127685546875,348.8869934082031,537.8585815429688,1003.6444702148438,3154.23779296875,958.3602294921875,187.8060760498047,17891.94921875
2023-01-27,4203.39990234375,871.44140625,1019.203125,3324.6806640625,845.70166015625,994.6300659179688,777.4708862304688,797.4569702148438,1393.254150390625,341.5694885253906,510.6677551269531,1006.8771362304688,3137.040283203125,939.1683959960938,186.16912841796875,17604.349609375
2023-01-30,4197.01220703125,869.5463256835938,1006.6973876953125,3304.020751953125,848.60302734375,1011.7034912109375,776.677001953125,803.6046752929688,1411.275634765625,344.1914367675781,509.0126647949219,1014.8865966796875,3157.82470703125,944.6387329101562,188.1334686279297,17648.94921875
2023-01-31,4215.037109375,869.297119140625,990.6878662109375,3253.86767578125,847.6915283203125,1000.5143432617188,771.552490234375,811.8018188476562,1406.6441650390625,345.1385498046875,523.48291015625,998.28857421875,3088.8955078125,925.4013671875,186.5432891845703,17662.150390625
2023-02-01,4221.7216796875,854.9849853515625,1004.4102783203125,3294.64794921875,853.0531005859375,1009.3409423828125,783.1245727539062,827.4640502929688,1422.5562744140625,347.8701171875,498.7510681152344,979.3746948242188,3134.556640625,933.3790283203125,188.20362854003906,17616.30078125
2023-02-02,4190.8720703125,866.1553955078125,997.841064453125,3206.46240234375,856.6994018554688,1024.9432373046875,771.4802856445312,837.1736450195312,1452.50048828125,351.2696838378906,499.46038818359375,972.330322265625,3182.42578125,926.9057006835938,191.50094604492188,17610.400390625
2023-02-03,4210.77880859375,880.2680053710938,994.92138671875,2830.9033203125,854.3958740234375,1021.8676147460938,798.1610717773438,842.9310913085938,1466.8536376953125,354.96832275390625,514.6873168945312,992.1610107421875,3202.56689453125,922.0278930664062,190.7760009765625,17854.05078125
2023-02-06,4279.21533203125,880.3179321289062,1002.2205200195312,2726.523681640625,852.6707763671875,1021.4661865234375,794.7688598632812,833.0751342773438,1439.7523193359375,348.3287353515625,515.8222045898438,987.5289916992188,3182.011962890625,916.6031494140625,189.25595092773438,17764.599609375
2023-02-07,4274.16455078125,876.7772216796875,1003.680419921875,2699.876953125,870.4513549804688,1005.908447265625,795.9476928710938,832.1480712890625,1432.919921875,353.9913024902344,517.429931640625,971.1723022460938,3193.599609375,913.959228515625,187.3149871826172,17721.5
2023-02-08,4349.08740234375,869.4467163085938,1011.2714233398438,2747.183837890625,879.7728271484375,1020.842041015625,795.8514404296875,838.3446044921875,1458.6910400390625,352.01739501953125,519.9362182617188,984.8809204101562,3237.33056640625,921.800048828125,190.23812866210938,17871.69921875
2023-02-09,4347.15673828125,865.4074096679688,994.142822265625,2770.837158203125,879.7140502929688,1022.0457153320312,794.1914672851562,840.0036010742188,1482.9949951171875,353.0940856933594,520.9293212890625,978.8529663085938,3256.4130859375,926.3131103515625,190.96307373046875,17893.44921875
2023-02-10,4373.84716796875,864.9585571289062,1005.5294189453125,2759.15771484375,882.0861206054688,994.6747436523438,797.3431396484375,833.221435546875,1475.245361328125,353.3233642578125,523.0573120117188,978.6585693359375,3253.37841796875,927.5438842773438,189.7938232421875,17856.5
2023-02-13,4316.80029296875,856.830078125,994.5807495117188,2721.812744140625,887.006591796875,992.3120727539062,797.9445190429688,830.0988159179688,1437.55126953125,353.67230224609375,508.3505859375,987.0684814453125,3202.658203125,914.0047607421875,187.3617706298828,17770.900390625
2023-02-14,4227.86279296875,868.4493408203125,1000.809326171875,2739.9208984375,889.6922607421875,1003.4120483398438,805.3304443359375,844.3948364257812,1461.213134765625,352.98443603515625,511.5189514160156,978.8043212890625,3218.936767578125,922.7118530273438,189.4664306640625,17929.849609375
2023-02-15,4444.8095703125,866.0057983398438,1003.1937866210938,2770.24853515625,886.0557861328125,1010.0540771484375,803.6945190429688,849.7620239257812,1464.6983642578125,356.0050964355469,512.843017578125,967.7694702148438,3237.835693359375,976.8226928710938,190.54214477539062,18015.849609375
2023-02-16,4598.56884765625,862.4652099609375,1007.767822265625,2823.296875,885.947998046875,1005.8192749023438,800.783447265625,848.4446411132812,1469.0546875,356.4936218261719,510.80963134765625,967.5264282226562,3272.2314453125,1030.4776611328125,191.71139526367188,18035.849609375
2023-02-17,4570.392578125,852.6412353515625,998.2789306640625,2777.364013671875,884.1934814453125,989.2361450195312,796.7656860351562,841.8088989257812,1452.54638671875,350.77117919921875,502.2030944824219,957.1719970703125,3219.90185546875,1029.5203857421875,190.02764892578125,17944.19921875
2023-02-20,4566.33251953125,844.5127563476562,938.1827392578125,2846.85205078125,877.2244262695312,994.7191162109375,789.283447265625,831.5137939453125,1460.4794921875,346.3946533203125,496.67041015625,957.0748291015625,3207.165283203125,1043.1962890625,190.37844848632812,17844.599609375
2023-02-21,4458.8232421875,841.8198852539062,940.0805053710938,2864.5185546875,879.4494018554688,985.3577880859375,792.24267578125,833.56298828125,1448.6026611328125,344.97900390625,495.06256103515625,944.6301879882812,3173.78076171875,1034.3067626953125,188.36734008789062,17826.69921875
2023-02-22,4406.3828125,831.1481323242188,936.7715454101562,2866.432373046875,877.5968627929688,974.124267578125,776.700927734375,818.9742431640625,1432.36962890625,339.06719970703125,488.3475646972656,941.6647338867188,3128.302734375,1026.3292236328125,184.8127899169922,17554.30078125
2023-02-23,4405.341796875,842.1190185546875,934.581787109375,2819.959716796875,872.2842407226562,975.6845092773438,771.4321899414062,819.462158203125,1422.1893310546875,340.38311767578125,492.7454528808594,945.505126953125,3139.569091796875,1029.1558837890625,184.2515411376953,17511.25
2023-02-24,4433.7060546875,849.1505126953125,936.0416259765625,2861.181396484375,880.4197998046875,976.130126953125,764.551513671875,819.413330078125,1422.1435546875,338.4192199707031,492.792724609375,943.5606079101562,3127.291259765625,1020.2207641601562,183.94752502441406,17465.80078125
2023-02-27,4403.0615234375,852.0926513671875,924.7523193359375,2805.5322265625,866.6776733398438,966.411865234375,766.4520874023438,835.7099609375,1384.220458984375,344.13165283203125,499.0821228027344,938.2619018554688,3064.20263671875,1015.6166381835938,182.56781005859375,17392.69921875
2023-02-28,4365.2763671875,841.8697509765625,882.1253662109375,2773.24169921875,846.21142578125,960.750732421875,769.6758422851562,834.1973266601562,1364.2728271484375,344.78961181640625,494.44781494140625,930.04638671875,3046.728515625,1003.1260375976562,181.02439880371094,17303.94921875
2023-03-01,4377.32568359375,862.8641357421875,875.5074462890625,2792.57666015625,851.6220092773438,981.7022705078125,768.9301147460938,835.6123046875,1372.068359375,347.9100341796875,507.593994140625,932.6715698242188,3113.7265625,1027.4234619140625,182.84844970703125,17450.900390625
2023-03-02,4365.82177734375,843.2161865234375,862.7095947265625,2808.1328125,860.7180786132812,986.0265502929688,762.3861694335938,833.3678588867188,1350.149169921875,343.28424072265625,504.803955078125,938.5049438476562,3054.637939453125,1011.8331909179688,181.49209594726562,17321.900390625
