lagged_ret,vol_5d,target,ticker
-0.003313018518997235,0.00928812213426845,1,HDFCBANK.NS
0.0019442491063796918,0.008990682127921198,1,HDFCBANK.NS
-0.018278575634150585,0.011943979458925466,1,HDFCBANK.NS
0.014410506697958514,0.012094109967631385,1,HDFCBANK.NS
0.005342940047444511,0.011949663512461626,1,HDFCBANK.NS
0.0007815973518165986,0.012768481921192973,1,HDFCBANK.NS
-0.009589853874214294,0.01020959195154327,1,HDFCBANK.NS
0.01488673299706722,0.011014487283848818,1,HDFCBANK.NS
0.017651886237810777,0.011040051424500917,1,HDFCBANK.NS
0.004153064192213396,0.010821747694373735,0,HDFCBANK.NS
0.010248755052007619,0.005483300138881432,0,HDFCBANK.NS
0.007315171353029948,0.005243279476617212,0,HDFCBANK.NS
0.01338821915866073,0.016638762067689293,0,HDFCBANK.NS
-0.027631912364091016,0.0189946682024186,1,HDFCBANK.NS
-0.019925361547316833,0.017599278114380692,1,HDFCBANK.NS
-0.0010211112614041395,0.016086587181561324,1,HDFCBANK.NS
-0.006597995956959313,0.01663744700908228,1,HDFCBANK.NS
0.014998438429012051,0.013576818277347871,1,HDFCBANK.NS
-0.014869010007471872,0.01962041527323008,0,HDFCBANK.NS
0.0345838858481291,0.019935971006325978,1,HDFCBANK.NS
-0.004250034277553438,0.019093405524288183,0,HDFCBANK.NS
0.0014832400554989356,0.018579420173084286,1,HDFCBANK.NS
-0.00012092809900488,0.01616569001678043,1,HDFCBANK.NS
-0.0020857826727498363,0.0031691516077919477,0,HDFCBANK.NS
0.003968403707552914,0.002218307015535063,0,HDFCBANK.NS
0.0007542290948867603,0.004434036476083484,0,HDFCBANK.NS
0.009256189016533689,0.004770235481694857,0,HDFCBANK.NS
-0.0020313714754912615,0.005132690356072141,0,HDFCBANK.NS
-0.003622112268241162,0.005669612643127513,0,HDFCBANK.NS
-0.0050172880623193805,0.0069449933609311764,0,HDFCBANK.NS
-0.009390764312108058,0.004781335463641796,1,HDFCBANK.NS
0.00374925956686023,0.008595927190000416,0,HDFCBANK.NS
-0.019617408304278605,0.008420078587063005,0,HDFCBANK.NS
-0.006783483326507134,0.008322914638325258,1,HDFCBANK.NS
-0.008919353326510615,0.009506062351580408,1,HDFCBANK.NS
0.002485867461488489,0.009622472128729256,0,HDFCBANK.NS
0.004206074894698819,0.005710968648397855,1,HDFCBANK.NS
-0.0009688852086723321,0.00611110562445825,0,HDFCBANK.NS
-0.008510455224738922,0.01040443858260366,0,HDFCBANK.NS
0.01984927469400799,0.010502903852229467,0,HDFCBANK.NS
0.0070549423100367825,0.01055554435024275,0,HDFCBANK.NS
0.001997155917770055,0.010443673348756125,0,HDFCBANK.NS
9.195320748656144e-05,0.016663190210199026,1,HDFCBANK.NS
-0.025786458233668208,0.013296197318691392,1,HDFCBANK.NS
-0.01265230001133022,0.011527831558991064,1,HDFCBANK.NS
-0.0026775918235678597,0.010306110028221517,1,HDFCBANK.NS
-0.01435088598164247,0.012251100895242681,1,HDFCBANK.NS
0.006485460857750258,0.011986752016598665,1,HDFCBANK.NS
0.013370653450523795,0.010938742114215,1,HDFCBANK.NS
-0.006931005801622092,0.012079286889061451,1,HDFCBANK.NS
0.011333431124249449,0.008751018923094381,1,HDFCBANK.NS
-0.002310882712382334,0.01017336680685163,1,HDFCBANK.NS
-0.008027694362236382,0.007705042568576527,1,HDFCBANK.NS
-0.0015993645712953919,0.007364726132248169,1,HDFCBANK.NS
0.004357120157095995,0.006273574695164198,1,HDFCBANK.NS
0.008134229597884346,0.006393491849261863,1,HDFCBANK.NS
0.0048096593912501096,0.005603795283535819,1,HDFCBANK.NS
0.013698110310435663,0.004907585122404769,1,HDFCBANK.NS
0.0006212560026310765,0.010145632087203526,1,HDFCBANK.NS
0.02682312419280164,0.010182239527866383,0,HDFCBANK.NS
0.007619086189819546,0.012252227405641003,0,HDFCBANK.NS
-0.0047409560060140965,0.01212304569808689,1,HDFCBANK.NS
0.0029245135747497653,0.011843895811741386,1,HDFCBANK.NS
0.012986264224639221,0.006509697560822015,1,HDFCBANK.NS
0.004480897519579807,0.010631324309926641,1,HDFCBANK.NS
-0.015244092325871539,0.010575702743226766,0,HDFCBANK.NS
-0.004230092236392924,0.010629558926049179,0,HDFCBANK.NS
0.0036755033753514965,0.00845842832781854,0,HDFCBANK.NS
0.003722204360122383,0.00803677766182491,0,HDFCBANK.NS
0.0016149047399673933,0.004477467823295435,0,HDFCBANK.NS
0.008091577183391596,0.008600822453061693,0,HDFCBANK.NS
-0.014216831094768234,0.00869317921418949,1,HDFCBANK.NS
0.004596986397161329,0.008879286432432095,0,HDFCBANK.NS
0.005503068540396949,0.008971311503441427,0,HDFCBANK.NS
0.003926174932184168,0.008200007801627577,0,HDFCBANK.NS
-0.00020737946172133537,0.0021871878441764563,0,HDFCBANK.NS
0.003496786605575064,0.008008622724380049,0,HDFCBANK.NS
0.02046491772805359,0.03059467710329112,1,HDFCBANK.NS
-0.059121446762836594,0.03141200883414416,1,HDFCBANK.NS
0.011564611783873469,0.03142080082328853,1,HDFCBANK.NS
3.0314848629364732e-05,0.03149819499700088,1,HDFCBANK.NS
0.004621447282649349,0.028696938414429475,1,HDFCBANK.NS
0.000665834833803558,0.005032359227015943,1,HDFCBANK.NS
0.00883148009084378,0.003571305403855375,0,HDFCBANK.NS
0.004796690726811104,0.005498437228516497,0,HDFCBANK.NS
-0.005733894780824311,0.0063473638140158295,0,HDFCBANK.NS
-0.00537252978396674,0.006523531758467134,0,HDFCBANK.NS
0.003997697930977484,0.005044747720157458,0,HDFCBANK.NS
0.0011550661210744106,0.0042896163931956865,0,HDFCBANK.NS
-0.0035521985015551927,0.0037688200536086227,0,HDFCBANK.NS
-0.002346108108508771,0.006482848437149311,0,HDFCBANK.NS
-0.013070976723429162,0.005274331384747698,0,HDFCBANK.NS
-0.0038371917397499455,0.0060555732374248964,0,HDFCBANK.NS
0.003851972496796474,0.009387500111287368,0,HDFCBANK.NS
