Ticker,Return (%),Volatility (%),Sharpe,Beta,Max DD (%),Weight (%),Allocation (Rs)
ICICIBANK.NS,21.15,18.34,0.8,0.97,-9.34,16.666666666666664,166666.66666666663
SBIN.NS,18.19,25.59,0.46,1.39,-17.48,16.666666666666664,166666.66666666663
HCLTECH.NS,38.25,21.38,1.48,0.79,-21.66,16.666666666666664,166666.66666666663
TECHM.NS,34.53,25.14,1.11,0.87,-16.22,16.666666666666664,166666.66666666663
SUNPHARMA.NS,35.35,17.39,1.66,0.47,-12.24,16.666666666666664,166666.66666666663
DRREDDY.NS,27.65,19.46,1.09,0.43,-15.61,16.666666666666664,166666.66666666663
