Date,APOLLOHOSP.NS,AXISBANK.NS,CIPLA.NS,DIVISLAB.NS,DRREDDY.NS,HCLTECH.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,KOTAKBANK.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TECHM.NS,WIPRO.NS,^NSEI
2023-01-02,4411.58203125,939.1121215820312,1042.2684326171875,3310.155029296875,830.2246704101562,918.427001953125,783.6778564453125,880.6473999023438,1397.7021484375,363.890869140625,578.9995727539062,962.101318359375,2932.793701171875,920.3868408203125,183.37893676757812,18197.44921875
2023-01-03,4447.78076171875,959.7574462890625,1047.0860595703125,3330.1279296875,830.8715209960938,920.1057739257812,788.8023681640625,879.5739135742188,1396.372314453125,365.4460754394531,579.1886596679688,973.77783203125,2977.66552734375,933.424560546875,185.24514770507812,18232.55078125
2023-01-04,4390.73388671875,954.9202880859375,1038.326904296875,3371.8896484375,833.8414916992188,915.9087524414062,774.7041625976562,877.3782958984375,1370.921875,363.0334777832031,572.3792114257812,968.9527587890625,2980.632568359375,930.2335815429688,181.81597900390625,18042.94921875
2023-01-05,4386.525390625,947.0411376953125,1059.202392578125,3397.702392578125,842.4671020507812,922.53564453125,769.72412109375,857.9103393554688,1352.9462890625,362.9437561035156,572.2845458984375,980.6292724609375,2977.44091796875,922.3470458984375,180.50962829589844,17992.150390625
2023-01-06,4345.32421875,937.4166870117188,1047.5238037109375,3371.25146484375,837.4191284179688,912.5513305664062,767.1738891601562,849.078857421875,1328.4591064453125,356.2643127441406,568.075927734375,973.391845703125,2887.922607421875,899.09814453125,178.22352600097656,17859.44921875
2023-01-09,4365.3798828125,956.2168579101562,1058.326416015625,3395.3955078125,849.6224365234375,943.1670532226562,768.6654663085938,852.2503662109375,1361.4298095703125,361.2689514160156,574.7435913085938,981.2564697265625,2985.39892578125,925.6293334960938,182.79574584960938,18101.19921875
2023-01-10,4423.763671875,949.63427734375,1049.810791015625,3436.9609375,840.741943359375,939.986083984375,754.6154174804688,840.540283203125,1347.947998046875,358.0089416503906,562.874267578125,976.4315185546875,2955.229736328125,914.1416015625,183.37893676757812,17914.150390625
2023-01-11,4318.732421875,947.2406005859375,1019.5438232421875,3348.23583984375,835.4882202148438,931.9898071289062,765.48974609375,845.3706665039062,1349.32373046875,359.2651062011719,564.3401489257812,992.0162963867188,2993.26708984375,917.514892578125,183.75216674804688,17895.69921875
2023-01-12,4317.89013671875,933.078125,1032.73095703125,3244.052978515625,845.0352172851562,946.8778686523438,769.5797119140625,839.8572387695312,1357.898681640625,354.8088073730469,562.6377563476562,996.6963500976562,2998.347900390625,913.138671875,184.055419921875,17858.19921875
2023-01-13,4293.92236328125,931.6818237304688,1039.1541748046875,3289.59326171875,846.9564208984375,952.31201171875,770.1812133789062,852.3479614257812,1379.0386962890625,354.96832275390625,567.5557250976562,995.4901733398438,3034.49658203125,914.5975341796875,183.77549743652344,17956.599609375
2023-01-16,4253.41552734375,910.7373046875,1031.222412109375,3271.435791015625,848.06396484375,966.3606567382812,762.7952880859375,844.3461303710938,1399.0777587890625,355.86553955078125,570.2984619140625,999.205322265625,3066.22509765625,943.1343383789062,185.96832275390625,17894.849609375
2023-01-17,4281.3447265625,915.2752685546875,1040.468017578125,3285.372802734375,853.10205078125,981.6907958984375,774.1507568359375,844.24853515625,1411.917724609375,358.42767333984375,560.7935180664062,996.5516357421875,3107.012939453125,953.7105102539062,184.9185791015625,18053.30078125
2023-01-18,4298.13134765625,921.55859375,1034.920654296875,3325.71142578125,855.5721435546875,985.313232421875,787.8159790039062,848.493408203125,1417.3287353515625,358.7167663574219,559.3748168945312,1003.6926879882812,3117.68115234375,955.807373046875,188.1144561767578,18165.349609375
2023-01-19,4276.68896484375,926.2462158203125,1036.331787109375,3319.33154296875,849.2695922851562,990.885498046875,791.087890625,845.224365234375,1411.3673095703125,352.3762512207031,557.861572265625,1004.1270751953125,3102.138671875,960.320556640625,188.207763671875,18107.849609375
2023-01-20,4244.10546875,928.09130859375,1025.237060546875,3281.20166015625,852.8766479492188,987.6759033203125,799.195556640625,849.3228759765625,1399.1236572265625,351.49896240234375,560.0841674804688,994.283935546875,3092.9423828125,954.1207885742188,188.09112548828125,18027.650390625
2023-01-23,4293.82421875,930.2356567382812,1034.093505859375,3322.96337890625,850.377197265625,999.6228637695312,805.0418090820312,850.6402587890625,1419.71337890625,355.65618896484375,567.8867797851562,1012.5706176757812,3140.5810546875,971.2611694335938,189.88735961914062,18118.55078125
2023-01-24,4263.66552734375,907.7951049804688,1033.7042236328125,3293.862548828125,833.6944580078125,1014.467529296875,815.8199462890625,849.7132568359375,1423.2899169921875,350.9705810546875,562.1175537109375,1004.2716064453125,3160.26220703125,976.0933227539062,190.16798400878906,18118.30078125
2023-01-25,4183.7900390625,889.9922485351562,1007.5245971679688,3273.889404296875,823.5397338867188,1001.004638671875,793.2772216796875,834.6364135742188,1415.1275634765625,348.88702392578125,537.8585815429688,1003.64453125,3154.238037109375,958.3602294921875,187.80606079101562,17891.94921875
2023-01-27,4203.39990234375,871.44140625,1019.2031860351562,3324.6806640625,845.7017211914062,994.6301879882812,777.4708251953125,797.4569702148438,1393.2542724609375,341.56951904296875,510.6677551269531,1006.8771362304688,3137.0400390625,939.1683349609375,186.1691131591797,17604.349609375
2023-01-30,4197.0126953125,869.5464477539062,1006.6973876953125,3304.020751953125,848.6030883789062,1011.7035522460938,776.6768798828125,803.6046752929688,1411.2757568359375,344.1914367675781,509.01263427734375,1014.8866577148438,3157.82470703125,944.6387329101562,188.13345336914062,17648.94921875
2023-01-31,4215.03759765625,869.2970581054688,990.6878662109375,3253.867919921875,847.6915283203125,1000.5144653320312,771.552490234375,811.8017578125,1406.644287109375,345.1385498046875,523.48291015625,998.2886352539062,3088.8955078125,925.4013671875,186.5432891845703,17662.150390625
2023-02-01,4221.7216796875,854.9849853515625,1004.4102783203125,3294.64794921875,853.0531005859375,1009.341064453125,783.1246337890625,827.4640502929688,1422.556396484375,347.8701171875,498.7510070800781,979.374755859375,3134.55712890625,933.3790283203125,188.20364379882812,17616.30078125
2023-02-02,4190.8720703125,866.1554565429688,997.841064453125,3206.462646484375,856.6994018554688,1024.943359375,771.4802856445312,837.1736450195312,1452.50048828125,351.2696838378906,499.4603271484375,972.330322265625,3182.426025390625,926.9057006835938,191.50094604492188,17610.400390625
2023-02-03,4210.77880859375,880.2680053710938,994.9213256835938,2830.9033203125,854.3959350585938,1021.8673706054688,798.1610107421875,842.9310302734375,1466.8536376953125,354.96832275390625,514.687255859375,992.1610107421875,3202.56640625,922.0279541015625,190.77598571777344,17854.05078125
2023-02-06,4279.21484375,880.3179321289062,1002.2205200195312,2726.523681640625,852.6708374023438,1021.4661254882812,794.7688598632812,833.0751342773438,1439.75244140625,348.3287353515625,515.8222045898438,987.5289916992188,3182.01171875,916.6031494140625,189.25595092773438,17764.599609375
2023-02-07,4274.1640625,876.7772216796875,1003.6803588867188,2699.876953125,870.4513549804688,1005.9082641601562,795.9476318359375,832.1480712890625,1432.919921875,353.9913024902344,517.429931640625,971.1723022460938,3193.599853515625,913.9592895507812,187.3149871826172,17721.5
2023-02-08,4349.087890625,869.4467163085938,1011.2714233398438,2747.183837890625,879.7728881835938,1020.8419799804688,795.8513793945312,838.3446044921875,1458.6910400390625,352.0173645019531,519.936279296875,984.8809204101562,3237.330322265625,921.800048828125,190.23814392089844,17871.69921875
2023-02-09,4347.15625,865.4074096679688,994.1427612304688,2770.837158203125,879.714111328125,1022.0457763671875,794.1914672851562,840.0035400390625,1482.994873046875,353.09405517578125,520.9293823242188,978.8529663085938,3256.4130859375,926.3130493164062,190.96307373046875,17893.44921875
2023-02-10,4373.84765625,864.9586181640625,1005.5294189453125,2759.15771484375,882.0861206054688,994.6747436523438,797.3430786132812,833.2214965820312,1475.2452392578125,353.3233642578125,523.0573120117188,978.6585693359375,3253.3779296875,927.5439453125,189.7938232421875,17856.5
2023-02-13,4316.80029296875,856.830078125,994.5807495117188,2721.8125,887.0066528320312,992.3120727539062,797.9445190429688,830.0988159179688,1437.55126953125,353.6723327636719,508.35064697265625,987.0684814453125,3202.658203125,914.0047607421875,187.3617706298828,17770.900390625
